"","WT.16wk.7","WT.16wk.6","WT.16wk.2","YI.6wk.4","YI.6wk.2","YI.6wk.3","YI.6wk.1"
"ENSG00000150275",4.75201179077794,4.46156768796863,4.96155411467419,5.1766360447067,5.66002846946326,5.0028970089907,5.99389929850097
"ENSG00000150316",7.87966928655356,8.04388837401739,7.84920979435829,7.65072408953762,7.7639715935148,7.71033520297377,7.76284204934319
"ENSG00000150394",3.69768323292651,4.26036566354651,0,3.81376532157956,3.63665518278369,4.00280364783244,3.47009387578664
"ENSG00000150401",6.72496222711361,6.80605527688778,6.97183597789232,6.82702035384868,6.85021978391199,6.81031861389112,6.93049089446027
"ENSG00000150403",8.67297791204676,8.77131906196926,8.6150326171293,8.28300452209729,8.30167221458313,8.05826156923774,8.19104010873146
"ENSG00000150433",8.50481642292704,8.35317004129241,8.40749526903113,8.15662520276536,7.97543329254673,8.23179909701222,8.02724896141826
"ENSG00000150455",6.28245411535124,6.00220277056339,6.20875378742006,5.25464862503137,5.51720976132576,6.70340135824079,5.1129220513816
"ENSG00000150456",6.33690047988387,6.20277157893851,6.04835140473357,5.81413428470864,5.86267002072388,6.17287387513267,5.77527489146725
"ENSG00000150457",8.00264975130906,7.95218798300522,8.3223628277041,8.43314706696897,8.23933329870402,8.44592527583002,8.37752514206711
"ENSG00000150459",7.55927181149375,8.05948264428119,7.92046029288288,7.69336942976254,7.95894825683883,7.68947638992145,7.85646629660277
"ENSG00000150471",10.0871287321191,9.89808600631582,10.0019940479685,9.28068680442356,9.44262036942761,9.74445386070659,9.50333838252735
"ENSG00000150510",6.01942737473798,6.32823068683337,5.60495776304636,6.21626264007417,6.45510316280384,6.06903496780049,6.33150095211114
"ENSG00000150540",9.26380496358453,9.3823018030793,9.1963776522314,8.52258335377409,8.37391783881709,8.74107562776953,8.43468929477689
"ENSG00000150551",4.31909113308815,4.10873032910787,4.71667435034533,3.91333379567436,3.74318214654726,3.81013189416367,3.3163513226991
"ENSG00000150593",9.41275971510628,9.45091399972101,9.49173256224121,9.22605929638071,9.41669878562552,8.7744729977406,9.31827379739583
"ENSG00000150594",4.69756826500277,4.89145879473363,5.28323081519641,3.81376532157956,4.32646106491891,4.70331518278536,3.95998399257298
